Date,Ticker,Variacao
2022-01-03,CDI,0.00034749
2022-01-04,CDI,0.00034749
2022-01-05,CDI,0.00034749
2022-01-06,CDI,0.00034749
2022-01-07,CDI,0.00034749
2022-01-10,CDI,0.00034749
2022-01-11,CDI,0.00034749
2022-01-12,CDI,0.00034749
2022-01-13,CDI,0.00034749
2022-01-14,CDI,0.00034749
2022-01-17,CDI,0.00034749
2022-01-18,CDI,0.00034749
2022-01-19,CDI,0.00034749
2022-01-20,CDI,0.00034749
2022-01-21,CDI,0.00034749
2022-01-24,CDI,0.00034749
2022-01-25,CDI,0.00034749
2022-01-26,CDI,0.00034749
2022-01-27,CDI,0.00034749
2022-01-28,CDI,0.00034749
2022-01-31,CDI,0.00034749
2022-02-01,CDI,0.00034749
2022-02-02,CDI,0.00034749
2022-02-03,CDI,0.00040168
2022-02-04,CDI,0.00040168
2022-02-07,CDI,0.00040168
2022-02-08,CDI,0.00040168
2022-02-09,CDI,0.00040168
2022-02-10,CDI,0.00040168
2022-02-11,CDI,0.00040168
2022-02-14,CDI,0.00040168
2022-02-15,CDI,0.00040168
2022-02-16,CDI,0.00040168
2022-02-17,CDI,0.00040168
2022-02-18,CDI,0.00040168
2022-02-21,CDI,0.00040168
2022-02-22,CDI,0.00040168
2022-02-23,CDI,0.00040168
2022-02-24,CDI,0.00040168
2022-02-25,CDI,0.00040168
2022-03-02,CDI,0.00040168
2022-03-03,CDI,0.00040168
2022-03-04,CDI,0.00040168
2022-03-07,CDI,0.00040168
2022-03-08,CDI,0.00040168
2022-03-09,CDI,0.00040168
2022-03-10,CDI,0.00040168
2022-03-11,CDI,0.00040168
2022-03-14,CDI,0.00040168
2022-03-15,CDI,0.00040168
2022-03-16,CDI,0.00040168
2022-03-17,CDI,0.00043739
2022-03-18,CDI,0.00043739
2022-03-21,CDI,0.00043739
2022-03-22,CDI,0.00043739
2022-03-23,CDI,0.00043739
2022-03-24,CDI,0.00043739
2022-03-25,CDI,0.00043739
2022-03-28,CDI,0.00043739
2022-03-29,CDI,0.00043739
