Date,Ticker,Close
2021-01-04,CDI,0.007469
2021-01-05,CDI,0.007469
2021-01-06,CDI,0.007469
2021-01-07,CDI,0.007469
2021-01-08,CDI,0.007469
2021-01-11,CDI,0.007469
2021-01-12,CDI,0.007469
2021-01-13,CDI,0.007469
2021-01-14,CDI,0.007469
2021-01-15,CDI,0.007469
2021-01-18,CDI,0.007469
2021-01-19,CDI,0.007469
2021-01-20,CDI,0.007469
2021-01-21,CDI,0.007469
2021-01-22,CDI,0.007469
2021-01-25,CDI,0.007469
2021-01-26,CDI,0.007469
2021-01-27,CDI,0.007469
2021-01-28,CDI,0.007469
2021-01-29,CDI,0.007469
2021-02-01,CDI,0.007469
2021-02-02,CDI,0.007469
2021-02-03,CDI,0.007469
2021-02-04,CDI,0.007469
2021-02-05,CDI,0.007469
2021-02-08,CDI,0.007469
2021-02-09,CDI,0.007469
2021-02-10,CDI,0.007469
2021-02-11,CDI,0.007469
2021-02-12,CDI,0.007469
2021-02-17,CDI,0.007469
2021-02-18,CDI,0.007469
2021-02-19,CDI,0.007469
2021-02-22,CDI,0.007469
2021-02-23,CDI,0.007469
2021-02-24,CDI,0.007469
2021-02-25,CDI,0.007469
2021-02-26,CDI,0.007469
2021-03-01,CDI,0.007469
2021-03-02,CDI,0.007469
2021-03-03,CDI,0.007469
2021-03-04,CDI,0.007469
2021-03-05,CDI,0.007469
2021-03-08,CDI,0.007469
2021-03-09,CDI,0.007469
2021-03-10,CDI,0.007469
2021-03-11,CDI,0.007469
2021-03-12,CDI,0.007469
2021-03-15,CDI,0.007469
2021-03-16,CDI,0.007469
2021-03-17,CDI,0.007469
2021-03-18,CDI,0.010379
2021-03-19,CDI,0.010379
2021-03-22,CDI,0.010379
2021-03-23,CDI,0.010379
2021-03-24,CDI,0.010379
2021-03-25,CDI,0.010379
2021-03-26,CDI,0.010379
2021-03-29,CDI,0.010379
2021-03-30,CDI,0.010379
2021-03-31,CDI,0.010379
2021-04-01,CDI,0.010379
2021-04-05,CDI,0.010379
2021-04-06,CDI,0.010379
2021-04-07,CDI,0.010379
2021-04-08,CDI,0.010379
2021-04-09,CDI,0.010379
2021-04-12,CDI,0.010379
2021-04-13,CDI,0.010379
2021-04-14,CDI,0.010379
2021-04-15,CDI,0.010379
2021-04-16,CDI,0.010379
2021-04-19,CDI,0.010379
2021-04-20,CDI,0.010379
2021-04-22,CDI,0.010379
2021-04-23,CDI,0.010379
2021-04-26,CDI,0.010379
2021-04-27,CDI,0.010379
2021-04-28,CDI,0.010379
2021-04-29,CDI,0.010379
2021-04-30,CDI,0.010379
2021-05-03,CDI,0.010379
2021-05-04,CDI,0.010379
2021-05-05,CDI,0.010379
2021-05-06,CDI,0.013269
2021-05-07,CDI,0.013269
2021-05-10,CDI,0.013269
2021-05-11,CDI,0.013269
2021-05-12,CDI,0.013269
2021-05-13,CDI,0.013269
2021-05-14,CDI,0.013269
2021-05-17,CDI,0.013269
2021-05-18,CDI,0.013269
2021-05-19,CDI,0.013269
2021-05-20,CDI,0.013269
2021-05-21,CDI,0.013269
2021-05-24,CDI,0.013269
2021-05-25,CDI,0.013269
2021-05-26,CDI,0.013269
2021-05-27,CDI,0.013269
2021-05-28,CDI,0.013269
2021-05-31,CDI,0.013269
2021-06-01,CDI,0.013269
2021-06-02,CDI,0.013269
2021-06-04,CDI,0.013269
2021-06-07,CDI,0.013269
2021-06-08,CDI,0.013269
2021-06-09,CDI,0.013269
